#nimeflow-catalogue	1	2026-08-02T12:23:55.584Z	10000	id,kind,romaji,english,syn,year,format,country,popularity,cover
20447	0	Noragami		Stray God	2014	TV	JP	533130	bx20447-EoQXeygHaVCK.jpg
20613	0	Akame ga Kill!		Akame ga Kiru!~Red Eyes Sword	2014	TV	JP	532058	bx20613-HXHpec4bemk5.jpg
124080	0	Horimiya			2021	TV	JP	530361	bx124080-3i22mRVPBS0T.jpg
104276	0	Boku no Hero Academia 4	My Hero Academia Season 4	BNHA 4~MHA 4	2019	TV	JP	525685	bx104276-SnEowMvesWIE.png
20789	0	Nanatsu no Taizai	The Seven Deadly Sins	7DS	2014	TV	JP	522631	bx20789-Ma5ouSYPkru9.jpg
21202	0	Kono Subarashii Sekai ni Shukufuku wo!	KONOSUBA -God's blessing on this wonderful world!	Kono Subarashii Sekai ni Syukufuku wo!~Konosuba - As Bençãos de Deus Neste Mundo Maravilhoso	2016	TV	JP	510485	bx21202-mPOr80AEjUcZ.png
269	0	BLEACH			2004	TV	JP	507230	bx269-d2GmRkJbMopq.png
112151	0	Kimetsu no Yaiba: Mugen Ressha-hen	Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train	KnY Movie~Els Guardians de la Nit: El Tren Infinit	2020	MOVIE	JP	501100	bx112151-1qlQwPB1RrJe.png
20623	0	Kiseijuu: Sei no Kakuritsu	Parasyte -the maxim-	Kiseiju - L'ospite indesiderato~Parasite : La Maxime	2014	TV	JP	494350	bx20623-dUARfggnNDOe.jpg
99423	0	Darling in the Franxx		DitF~DarliFra	2018	TV	JP	492804	nx99423-8MBxtwCeHf8B.png
1575	0	Code Geass: Hangyaku no Lelouch	Code Geass: Lelouch of the Rebellion	Code Geass: Lelouch de la Rebelión	2006	TV	JP	491398	bx1575-hsmWM2ydNm1m.jpg
30	0	Shin Seiki Evangelion	Neon Genesis Evangelion	NGE~Eva	1995	TV	JP	486218	bx30-AI1zr74Dh4ye.jpg
145064	0	Jujutsu Kaisen 2nd Season	JUJUTSU KAISEN Season 2	Jujutsu Kaisen: Kaigyoku Gyokusetsu / Shibuya Jihen~Jujutsu Kaisen: Hidden Inventory / Premature Death	2023	TV	JP	479760	bx145064-hSNRJM03pvv1.jpg
105310	0	Enen no Shouboutai	Fire Force		2019	TV	JP	476344	bx105310-2PKUvoaA6fTn.jpg
142329	0	Kimetsu no Yaiba: Yuukaku-hen	Demon Slayer: Kimetsu no Yaiba Entertainment District Arc	KnY 2~Demon Slayer: Kimetsu no Yaiba - Le quartier des plaisirs	2022	TV	JP	475469	bx142329-kET1PIXJv2eW.jpg
199	0	Sen to Chihiro no Kamikakushi	Spirited Away	Le Voyage de Chihiro~La Città Incantata	2001	MOVIE	JP	473770	bx199-sWefXJvXkDOb.jpg
14719	0	JoJo no Kimyou na Bouken (TV)	JoJo's Bizarre Adventure (TV)	JoJo no Kimyou na Bouken (2012)~JoJo no Kimyou na Bouken: Sentou Chouryuu	2012	TV	JP	471072	bx14719-VT5dRzTBSZ0w.jpg
154587	0	Sousou no Frieren	Frieren: Beyond Journey’s End	Frieren at the Funeral~Frieren - Oltre la Fine del Viaggio	2023	TV	JP	465885	bx154587-qQTzQnEJJ3oB.jpg
20931	0	Death Parade			2015	TV	JP	461757	nx20931-bktYqOcxPERi.jpg
97668	0	One Punch Man 2	One-Punch Man Season 2	OPM2~Wanpanman 2	2019	TV	JP	461634	bx97668-nC8gQrXVxt7k.png
1	0	Cowboy Bebop		Kowboj Bebop	1998	TV	JP	461090	bx1-GCsPm7waJ4kS.png
9919	0	Ao no Exorcist	Blue Exorcist	Ao no Futsumashi	2011	TV	JP	456563	bx9919-nXS7JOZrWHfS.jpg
99263	0	Tate no Yuusha no Nariagari	The Rising of the Shield Hero		2019	TV	JP	454101	bx99263-LcazQwdlWzMy.jpg
101280	0	Tensei Shitara Slime Datta Ken	That Time I Got Reincarnated as a Slime	TenSura~Vita da Slime	2018	TV	JP	453214	bx101280-tDxCVJm714nt.jpg
98314	0	Kakegurui		Gambling School	2017	TV	JP	451122	b98314-TSJykxVwCCQN.jpg
108465	0	Mushoku Tensei: Isekai Ittara Honki Dasu	Mushoku Tensei: Jobless Reincarnation	Jobless Reincarnation: I Will Seriously Try If I Go To Another World	2021	TV	JP	446785	bx108465-1ANspF1EWyFx.jpg
